Released_Date,Movie_Name,Stars_Featuring,Director,Language,Worldwide,India_Hindi_Net,India_Gross,Overseas,Budget,Verdict,Opening_Day,Screens,Genre
10-09-2020,Irul Tamil,Fahadh Faasil,Naseef Yusuf Izuddin,Tamil,0,0,0,0,8,Hit,0,0,Thriller
27-03-2020,Dia,Priya Varrier,Raju Viswanath,Kannada,8,0.3,7,1,10,Average,1.0,700,Romance
01-01-2020,Pailwaan Kannada,Sudeep,S. Krishna,Kannada,65,3,50,15,65,Hit,8.0,2500,Sports
11-09-2020,Yuvarathnaa,Puneeth Rajkumar,Santhosh Ananddram,Kannada,0,0,0,0,40,Hit,0,0,Action
25-12-2020,Pogaru,Dhruva Sarja,Nanda Kishore,Kannada,0,0,0,0,35,Average,0,0,Action
03-07-2020,Rathnan Prapancha,Dhananjaya,Rohith Padaki,Kannada,0,0,0,0,15,Hit,0,0,Comedy
16-10-2020,777 Charlie,Rakshit Shetty,Kiranraj K,Kannada,0,0,0,0,18,Super Hit,0,0,Drama
20-11-2020,Geetha Serial,Rashmika Mandanna,Various,Kannada,0,0,0,0,8,Average,0,0,Drama
17-01-2020,War Hindi,Hrithik Roshan,Siddharth Anand,Hindi,317,293,310,7,150,Blockbuster,51.3,5000,Action
14-08-2020,Dil Bechara Tamil,Sushant Singh Rajput,Mukesh Chhabra,Tamil,0,0,0,0,5,Super Hit,0,0,Romance
05-06-2020,Gulabo Sitabo Hindi,Amitabh Bachchan,Shoojit Sircar,Hindi,0,0,0,0,35,Average,0,0,Comedy
24-01-2020,Panga Hindi,Kangana Ranaut,Ashwiny Iyer Tiwari,Hindi,25,23,24,1,22,Average,2.6,1800,Sports
21-08-2020,Gunjan Saxena Hindi,Janhvi Kapoor,Sharan Sharma,Hindi,34,31,33,1,25,Hit,0,0,Biography
21-02-2020,Love Birds,Various,Various,Punjabi,5,0.3,4,1,6,Average,0.5,400,Romance
14-02-2020,Muklawa Re-release,Ammy Virk,Ksshitij Chaudhary,Punjabi,7,0.5,6,1,8,Hit,1.0,600,Comedy
07-02-2020,Sufna,Ammy Virk,Jagdeep Sidhu,Punjabi,10,0.8,8,2,10,Hit,1.5,800,Romance
06-03-2020,Kala Shah Kala Re-release,Binnu Dhillon,Amarjit Singh Saron,Punjabi,6,0.4,5,1,7,Average,0.8,500,Comedy
01-04-2020,Sat Shri Akaal England Special,Amrinder Gill,Manijinder Singh Virk,Punjabi,0,0,0,0,8,Flop,0,0,Comedy
17-07-2020,Ardaas Karaan,Gippy Grewal,Gippy Grewal,Punjabi,0,0,0,0,15,Super Hit,0,0,Drama
16-10-2020,Jodi Aa,Gippy Grewal,Ksshitij Chaudhary,Punjabi,0,0,0,0,12,Average,0,0,Comedy
27-11-2020,Nikka Zaildar 3,Ammy Virk,Simerjit Singh,Punjabi,0,0,0,0,14,Hit,0,0,Drama
25-12-2020,Bambukat Re-release,Binnu Dhillon,Pankaj Batra,Punjabi,0,0,0,0,6,Average,0,0,Comedy
10-01-2020,Haami Bengali,Dev,Shiboprosad Mukherjee,Bengali,8,0,7,1,10,Hit,1.2,700,Drama
17-01-2020,Ek Je Chhilo Raja Bengali,Jisshu Sengupta,Srijit Mukherji,Bengali,12,0,10,2,15,Hit,1.8,900,Drama
07-02-2020,Basu Paribar,Prosenjit Chatterjee,Shiboprosad Mukherjee,Bengali,10,0,9,1,12,Average,1.5,800,Drama
07-02-2020,Durgeshgorer Guptodhon,Abir Chatterjee,Dhrubo Banerjee,Bengali,9,0,8,1,10,Hit,1.0,700,Adventure
06-03-2020,Bishsho Sundori,Dev,Raj Chakraborty,Bengali,11,0,10,1,14,Average,1.5,800,Romance
21-08-2020,Byomkesh Hatyamancha,Anirban Bhattacharya,Debaloy Bhattacharya,Bengali,0,0,0,0,12,Hit,0,0,Mystery
25-09-2020,Tumi Acho Tai,Ankush Hazra,Rajib Biswas,Bengali,0,0,0,0,8,Average,0,0,Romance
02-10-2020,Golondaaj,Dev,Dhrubo Banerjee,Bengali,0,0,0,0,20,Hit,0,0,Sports
04-12-2020,Hatyapuri,Abir Chatterjee,Debaloy Bhattacharya,Bengali,0,0,0,0,10,Hit,0,0,Mystery
25-12-2020,Sanjhbatir Roopkathara,Prosenjit Chatterjee,Shiboprosad Mukherjee,Bengali,0,0,0,0,15,Hit,0,0,Drama
