Released Date,Movie_Name,Star_Featuring,Language,Director,Budget,India Gross,Overseas Collection,Worldwide Collection,Profit,Profit in Percentage,Rating,Verdict,Opening_Day,Screens,Genre
25-02-2022,Aadavallu Meeku Johaarlu,Rashmika Mandanna,Telugu,Kishore Tirumala,30,14,3,17,-13,-43%,5.8,Flop,0.9,1449,Comedy
04-03-2022,Jhund,Amitabh Bachchan,Hindi,Nagraj Manjule,22,15,3,18,-4,-18%,7.4,Average,0.8,1617,Sports
04-03-2022,Sebastian PC 524,Kiran Abbavaram,Telugu,Balaji Sayyapureddy,8,5,1,6,-2,-25%,5.6,Flop,0.4,884,Comedy
04-03-2022,Bheemla Nayak,Rana Daggubati,Telugu,Sagar K Chandra,70,110,40,150,80,114%,6.9,Hit,11.5,3745,Action
04-03-2022,Prem Prakaran,Malhar Thakar,Gujarati,Abhishek Shah,4,7,2,9,5,125%,7.2,Hit,0.5,163,Drama
11-03-2022,Radhe Shyam,Prabhas,Telugu,Radha Krishna Kumar,350,120,94,214,-136,-38%,5.2,Disaster,17.4,9396,Romance
11-03-2022,Maaran,Dhanush,Tamil,Karthick Naren,40,15,3,18,-22,-55%,5.4,Flop,1.3,2075,Action
11-03-2022,Love Mocktail 2,Darling Krishna,Kannada,Darling Krishna,7,18,2,20,13,185%,8.1,Hit,1.1,336,Romance
18-03-2022,Bachchhan Paandey,Akshay Kumar,Hindi,Farhad Samji,165,50,20,70,-95,-57%,5.2,Flop,6.9,5840,Action
18-03-2022,Etharkkum Thunindhavan,Suriya,Tamil,Pandiraj,75,85,15,100,25,33%,6.5,Average,9.3,4331,Action
18-03-2022,James,Puneeth Rajkumar,Kannada,Chethan Kumar,50,70,10,80,30,60%,7.6,Hit,4.1,2113,Action
24-03-2022,RRR,Ram Charan,Telugu,S S Rajamouli,550,900,300,1200,650,118%,8.0,Blockbuster,34.0,8500,Action
25-03-2022,The Kashmir Files,Anupam Kher,Hindi,Vivek Agnihotri,15,252,10,262,247,1646%,8.3,All Time Blockbuster,8.0,2000,Drama
25-03-2022,Hey Sinamika,Dulquer Salmaan,Tamil,Brinda,40,22,4,26,-14,-35%,6.1,Flop,1.9,1327,Romance
01-04-2022,Attack Part 1,John Abraham,Hindi,Lakshya Raj Anand,70,20,6,26,-44,-62%,6.7,Flop,1.5,4468,Action
01-04-2022,Mishan Impossible,Taapsee Pannu,Telugu,Swaroop RSJ,12,15,2,17,5,41%,7.2,Hit,0.7,656,Action
01-04-2022,Jayamma Panchayathi,Suma Kanakala,Telugu,Vijay Kumar Kalivarapu,8,6,1,7,-1,-12%,6.5,Average,0.4,881,Drama
01-04-2022,Kaun Pravin Tambe,Shreyas Talpade,Hindi,Jayprad Desai,25,8,3,11,-14,-56%,7.8,Average,0.6,1973,Sports
08-04-2022,Dasvi,Abhishek Bachchan,Hindi,Tushar Jalota,30,12,4,16,-14,-46%,7.5,Average,0.8,1380,Comedy
08-04-2022,Lekh,Gurnam Bhullar,Punjabi,Manvir Brar,5,25,10,35,30,600%,8.2,Blockbuster,2.1,95,Drama
14-04-2022,K.G.F Chapter 2,Yash,Kannada,Prashanth Neel,100,859,341,1200,1100,1100%,8.4,All Time Blockbuster,120.0,6438,Action
15-04-2022,Khiladi,Ravi Teja,Telugu,Ramesh Varma,60,40,10,50,-10,-16%,5.5,Flop,3.9,4491,Action
15-04-2022,Daman,Babushan Mohanty,Odia,Vishal Mourya,4,9,1,10,6,150%,8.4,Blockbuster,0.6,287,Drama
21-04-2022,Runway 34,Ajay Devgn,Hindi,Ajay Devgn,75,32,10,42,-33,-44%,7.1,Flop,2.6,4124,Thriller
22-04-2022,Kaathuvaakula Rendu Kaadhal,Vijay Sethupathi,Tamil,Vignesh Shivan,40,65,10,75,35,87%,6.7,Hit,3.4,1430,Comedy
22-04-2022,Naadi Dosh,Yash Soni,Gujarati,Krishnadev Yagnik,5,11,3,14,9,180%,7.0,Hit,0.7,337,Drama
29-04-2022,Heropanti 2,Tiger Shroff,Hindi,Ahmed Khan,90,25,6,31,-59,-65%,2.9,Disaster,2.6,2571,Action
29-04-2022,Ghani,Varun Tej,Telugu,Kiran Korrapati,40,10,2,12,-28,-70%,5.2,Flop,0.7,1665,Sports
29-04-2022,Aparajito,Jeetu Kamal,Bengali,Anik Dutta,6,15,3,18,12,200%,8.2,Blockbuster,0.9,110,Biography
29-04-2022,Dharmaveer,Prasad Oak,Marathi,Pravin Tarde,10,35,5,40,30,300%,8.0,Blockbuster,2.2,612,Biography
06-05-2022,Don,Sivakarthikeyan,Tamil,Cibi Chakaravarthi,40,105,12,117,77,192%,7.2,Blockbuster,8.7,1528,Action
06-05-2022,Acharya,Ram Charan,Telugu,Koratala Siva,140,75,10,85,-55,-39%,3.8,Disaster,6.6,5655,Action
13-05-2022,Jana Gana Mana,Prithviraj Sukumaran,Malayalam,Dijo Jose Antony,20,32,6,38,18,90%,8.0,Hit,2.1,2027,Thriller
13-05-2022,Jayeshbhai Jordaar,Ranveer Singh,Hindi,Divyang Thakkar,80,15,5,20,-60,-75%,6.0,Disaster,1.0,2335,Comedy
20-05-2022,Bhool Bhulaiyaa 2,Kartik Aaryan,Hindi,Anees Bazmee,90,185,80,265,175,194%,6.8,Blockbuster,21.5,3887,Horror
20-05-2022,Dhaakad,Kangana Ranaut,Hindi,Razneesh Ghai,90,3,1,4,-86,-95%,4.0,Disaster,0.3,3760,Action
20-05-2022,CBI 5 The Brain,Mammootty,Malayalam,K Madhu,30,30,5,35,5,16%,6.0,Average,1.4,990,Crime
20-05-2022,Belashuru,Soumitra Chatterjee,Bengali,Nandita Roy,4,8,1,9,5,125%,7.1,Hit,0.4,174,Drama
27-05-2022,F3 Fun and Frustration,Venkatesh,Telugu,Anil Ravipudi,70,93,22,115,45,64%,6.2,Hit,8.3,2980,Comedy
27-05-2022,Sarkaru Vaari Paata,Mahesh Babu,Telugu,Parasuram,120,135,45,180,60,50%,5.6,Hit,12.1,6712,Action
03-06-2022,Major,Adivi Sesh,Telugu,Sashi Kiran Tikka,35,66,18,84,49,140%,8.1,Hit,6.0,1519,Biography
03-06-2022,Vikram,Kamal Haasan,Tamil,Lokesh Kanagaraj,120,340,120,460,340,283%,8.4,Blockbuster,46.0,5000,Action
03-06-2022,Samrat Prithviraj,Akshay Kumar,Hindi,Chandraprakash Dwivedi,200,68,21,89,-111,-55%,5.8,Flop,10.1,8387,Historical
03-06-2022,Chandramukhi,Amruta Khanvilkar,Marathi,Prasad Oak,8,20,3,23,15,187%,7.3,Hit,1.4,817,Horror
10-06-2022,777 Charlie,Rakshit Shetty,Kannada,Kiranraj K,20,55,15,70,50,250%,8.8,Blockbuster,5.4,1005,Drama
10-06-2022,Baahi,Diganta Hazarika,Assamese,Biswajeet Bora,3,6,1,7,4,133%,7.1,Hit,0.3,212,Action
17-06-2022,Ante Sundaraniki,Nani,Telugu,Vivek Athreya,40,32,7,39,-1,-2%,7.6,Average,3.1,1442,Comedy
24-06-2022,Jugjugg Jeeyo,Varun Dhawan,Hindi,Raj Mehta,100,135,35,170,70,70%,6.2,Hit,11.3,5477,Drama
24-06-2022,Sher Bagga,Ammy Virk,Punjabi,Jagdeep Sidhu,7,12,4,16,9,128%,7.3,Hit,0.6,251,Drama
15-07-2022,Shabaash Mithu,Taapsee Pannu,Hindi,Srijit Mukherji,40,3,1,4,-36,-90%,5.6,Disaster,0.3,906,Sports
15-07-2022,The Warriorr,Ram Pothineni,Telugu,Lingusamy,70,38,6,44,-26,-37%,4.8,Flop,2.5,2320,Action
22-07-2022,Shamshera,Ranbir Kapoor,Hindi,Karan Malhotra,150,64,15,79,-71,-47%,4.7,Disaster,9.1,4416,Action
22-07-2022,Thank You,Naga Chaitanya,Telugu,Vikram Kumar,40,8,2,10,-30,-75%,5.1,Disaster,0.5,1054,Drama
29-07-2022,Ek Villain Returns,Arjun Kapoor,Hindi,Mohit Suri,80,49,19,68,-12,-15%,5.5,Flop,5.0,4241,Thriller
29-07-2022,Rocketry The Nambi Effect,R Madhavan,Tamil,R Madhavan,50,45,25,70,20,40%,8.7,Hit,4.1,3668,Biography
05-08-2022,Bimbisara,Kalyan Ram,Telugu,Mallidi Vassishta,40,63,7,70,30,75%,6.7,Hit,2.9,1069,Fantasy
05-08-2022,Sita Ramam,Dulquer Salmaan,Telugu,Hanu Raghavapudi,30,65,15,80,50,166%,8.6,Blockbuster,4.1,1036,Romance
05-08-2022,Laung Laachi 2,Ammy Virk,Punjabi,Amberdeep Singh,8,14,5,19,11,137%,6.9,Hit,0.5,406,Drama
11-08-2022,Laal Singh Chaddha,Aamir Khan,Hindi,Advait Chandan,180,61,67,128,-52,-29%,5.0,Flop,13.1,4361,Drama
12-08-2022,Thiruchitrambalam,Dhanush,Tamil,Mithran Jawahar,30,95,12,107,77,257%,7.9,Blockbuster,5.8,1088,Romance
18-08-2022,Karthikeya 2,Nikhil Siddhartha,Telugu,Chandoo Mondeti,30,121,60,181,151,503%,7.9,Blockbuster,12.2,1504,Adventure
19-08-2022,Nna Thaan Case Kodu,Kunchacko Boban,Malayalam,Ratheesh Balakrishnan,10,38,3,41,31,310%,8.1,Blockbuster,2.3,323,Comedy
25-08-2022,Liger,Vijay Deverakonda,Telugu,Puri Jagannadh,125,45,20,65,-60,-48%,2.9,Disaster,3.5,5883,Sports
26-08-2022,Laatti,Vishal,Tamil,A Vinoth Kumar,45,20,5,25,-20,-44%,5.2,Flop,1.9,2023,Action
02-09-2022,Chup,Dulquer Salmaan,Hindi,R Balki,10,18,4,22,12,120%,7.1,Hit,0.8,336,Thriller
02-09-2022,Oke Okkadu Re-release,Arjun Sarja,Telugu,S Shankar,10,12,3,15,5,50%,8.3,Hit,0.8,783,Action
02-09-2022,Pratikshya,Deepika Tripathy,Odia,Anupam Patnaik,3,5,1,6,3,100%,7.6,Hit,0.3,129,Romance
09-09-2022,Brahmastra,Ranbir Kapoor,Hindi,Ayan Mukerji,410,267,164,431,21,5%,6.5,Average,35.0,6000,Fantasy
09-09-2022,Chhello Show,Bhavin Rabari,Gujarati,Pan Nalin,10,12,6,18,8,80%,7.5,Hit,0.8,522,Drama
16-09-2022,Naane Varuvean,Dhanush,Tamil,Selvaraghavan,60,37,5,42,-18,-30%,6.1,Flop,2.9,3545,Thriller
16-09-2022,Chobbar,Jay Randhawa,Punjabi,Mandeep Benipal,6,9,2,11,5,83%,6.4,Average,0.6,204,Crime
30-09-2022,Ponniyin Selvan Part 1,Vikram,Tamil,Mani Ratnam,250,340,160,500,250,100%,7.6,Blockbuster,43.8,7128,Historical
30-09-2022,Vikram Vedha,Hrithik Roshan,Hindi,Pushkar Gayathri,175,135,50,185,10,5%,7.1,Average,46.0,5000,Crime
30-09-2022,Kacher Manush,Dev,Bengali,Pathikrit Basu,7,18,3,21,14,200%,6.8,Hit,1.3,272,Drama
07-10-2022,Godfather,Chiranjeevi,Telugu,Mohan Raja,100,85,20,105,5,5%,5.9,Average,8.0,5535,Crime
14-10-2022,Gaalipata 2,Golden Star Ganesh,Kannada,Yogaraj Bhat,25,32,4,36,11,44%,6.5,Average,2.1,950,Romance
14-10-2022,Doctor G,Ayushmann Khurrana,Hindi,Anubhuti Kashyap,35,39,6,45,10,28%,6.7,Average,2.2,1545,Comedy
21-10-2022,Ori Devuda,Vishwak Sen,Telugu,Ashwath Marimuthu,25,32,5,37,12,48%,7.4,Hit,2.0,1176,Comedy
21-10-2022,Karnasubarner Guptodhon,Abir Chatterjee,Bengali,Dhrubo Banerjee,6,14,2,16,10,166%,7.2,Hit,0.6,85,Adventure
28-10-2022,Ginna,Vishnu Manchu,Telugu,Eeshaan Suryaah,30,6,1,7,-23,-77%,5.0,Disaster,0.4,1096,Comedy
04-11-2022,Kantara,Rishab Shetty,Kannada,Rishab Shetty,16,400,50,450,434,2712%,8.3,All Time Blockbuster,34.0,371,Action
04-11-2022,Monster,Mohanlal,Malayalam,Vysakh,25,18,3,21,-4,-16%,5.6,Average,1.4,1631,Horror
04-11-2022,Har Har Mahadev,Subodh Bhave,Marathi,Abhijeet Deshpande,15,30,5,35,20,133%,7.4,Hit,2.1,773,Historical
05-11-2022,Yashoda,Samantha,Tamil,Hari Shankar,30,32,6,38,8,26%,6.6,Average,2.3,921,Action
11-11-2022,Uunchai,Amitabh Bachchan,Hindi,Sooraj Barjatya,60,50,10,60,0,0%,7.6,Average,5.2,3467,Drama
18-11-2022,Drishyam 2,Ajay Devgn,Hindi,Abhishek Pathak,50,240,40,280,230,460%,8.2,Blockbuster,15.8,3079,Thriller
18-11-2022,Bhediya,Varun Dhawan,Hindi,Amar Kaushik,60,66,24,90,30,50%,7.0,Hit,6.1,2709,Horror
18-11-2022,Vash,Hiten Kumar,Gujarati,Krishnadev Yagnik,6,10,2,12,6,100%,7.1,Hit,0.6,254,Thriller
18-11-2022,Tumi Mur Mathu Mur,Barasha Rani,Assamese,Kenny Basumatary,4,7,1,8,4,100%,7.0,Average,0.5,176,Drama
25-11-2022,An Action Hero,Ayushmann Khurrana,Hindi,Anirudh Iyer,30,12,3,15,-15,-50%,7.0,Flop,0.7,1648,Action
02-12-2022,Qala,Tripti Dimri,Hindi,Anvita Dutt,30,8,2,10,-20,-66%,7.3,Flop,0.5,942,Drama
02-12-2022,Oye Makhna,Ammy Virk,Punjabi,Simerjit Singh,7,18,6,24,17,242%,7.5,Hit,0.8,146,Comedy
09-12-2022,Love Today,Pradeep Ranganathan,Tamil,Pradeep Ranganathan,5,80,15,95,90,1800%,8.1,All Time Blockbuster,3.5,130,Comedy
23-12-2022,18 Pages,Nikhil Siddhartha,Telugu,Palnati Surya Pratap,16,28,5,33,17,106%,7.0,Hit,2.5,404,Romance
23-12-2022,Cirkus,Ranveer Singh,Hindi,Rohit Shetty,150,35,10,45,-105,-70%,4.4,Disaster,4.8,4240,Comedy
23-12-2022,Projapati,Mithun Chakraborty,Bengali,Avijit Sen,5,16,2,18,13,260%,7.4,Blockbuster,1.2,190,Drama
25-12-2022,Ved,Riteish Deshmukh,Marathi,Riteish Deshmukh,15,55,10,65,50,333%,8.0,Blockbuster,3.6,367,Romance
